event_types,u,i,ts
0,11,17,1468224
0,1,12,1470204
0,18,19,1472760
0,2,10,1473444
0,2,4,1475424
0,0,12,1476540
0,3,14,1482264
0,2,14,1482660
0,9,14,1485144
0,13,14,1485720
0,2,18,1550268
0,14,17,1555560
0,3,5,1557540
0,15,18,1558188
0,0,9,1558512
0,9,15,1559268
0,13,18,1559844
0,0,7,1560420
0,4,8,1561536
0,1,19,1570356
0,10,13,1579428
0,2,16,1581660
0,5,7,1581804
0,7,14,1582560
0,3,10,1582704
0,11,16,1583028
0,4,10,1583424
0,1,14,1583892
0,0,10,1584216
0,9,14,1585080
0,14,18,1585260
0,3,19,1586304
0,7,13,1587780
0,10,17,1588500
0,4,11,1588752
0,4,6,1589724
0,0,4,1589940
0,7,19,1591848
0,8,16,1592028
0,0,8,1592136
0,12,13,1594044
0,0,11,1594152
0,10,19,1594728
0,16,17,1594872
0,2,16,1595916
0,0,8,1596852
0,12,19,1597824
0,4,16,1597896
0,2,8,1598760
0,6,16,1600092
0,14,15,1600416
0,17,19,1603296
0,12,19,1603512
0,12,14,1612116
0,5,8,1619676
0,4,6,1619856
0,15,19,1621332
0,0,7,1623672
0,5,17,1626084
0,16,19,1629360
0,12,18,1632204
0,14,19,1635696
0,3,13,1686276
0,1,14,1687392
0,3,7,1688616
0,2,12,1701144
0,13,15,1704168
0,9,17,1715004
0,4,11,1716948
0,6,16,1745136
0,2,14,1750140
0,6,13,1751796
0,1,4,1755432
0,11,15,1771812
0,7,18,1772460
0,9,18,1774224
0,8,11,1784196
0,6,8,1794996
0,7,12,1798704
0,4,8,1815912
0,10,14,1834308
0,3,14,1835100
0,1,13,1839708
0,5,17,1839852
0,2,17,1840536
0,14,17,1840896
0,0,3,1841436
0,6,7,1841436
0,4,14,1849752
0,6,19,1851084
0,12,15,1852272
0,0,11,1852992
0,12,17,1854072
0,2,19,1854756
0,10,11,1854756
0,6,8,1855440
0,9,14,1855908
0,11,16,1856628
0,3,4,1856952
0,1,5,1857420
0,13,17,1859436
0,1,2,1860696
0,11,19,1861524
0,6,16,1864080
0,1,5,1864620
0,5,10,1865844
0,3,5,1866204
0,5,6,1866600
0,14,19,1867248
0,4,14,1867284
0,3,5,1868940
0,3,13,1869516
0,3,8,1870128
0,6,11,1872648
0,10,12,1872792
0,0,15,1875780
0,3,9,1877040
0,0,15,1877220
0,7,11,1882944
0,13,19,1884636
0,5,13,1893924
0,13,19,1896408
0,5,10,1897596
0,7,18,1922400
0,1,2,1937448
0,11,12,2016504
0,6,12,2045664
0,14,18,2110320
0,0,13,2150208
0,9,11,2165400
0,4,12,2185812
0,8,13,2200284
0,0,18,2201220
0,0,16,2205972
0,13,16,2206044
0,2,9,2206512
0,7,8,2206836
0,2,3,2208240
0,4,13,2208384
0,11,18,2208672
0,2,19,2208816
0,9,16,2208960
0,7,10,2209680
0,0,1,2210976
0,2,17,2211372
0,2,5,2211804
0,12,13,2211984
0,4,6,2212128
0,9,15,2212452
0,3,10,2212488
0,1,6,2212884
0,7,19,2213172
0,4,11,2213172
0,9,18,2214792
0,4,7,2216124
0,13,19,2216556
0,6,19,2217276
0,7,17,2236788
0,3,9,2238660
0,1,6,2241036
0,2,13,2254428
0,5,9,2257200
0,5,12,2257776
0,6,7,2258064
0,4,16,2261628
0,10,14,2264760
0,0,5,2265732
0,5,9,2266020
0,6,17,2267604
0,9,13,2268252
0,8,13,2269188
0,0,14,2272680
0,4,14,2274372
0,13,18,2275992
0,14,16,2284200
0,14,19,2285676
0,4,18,2293668
0,6,15,2294028
0,16,17,2298420
0,4,16,2299392
0,6,17,2300076
0,1,16,2300508
0,14,19,2303028
0,11,15,2305332
0,7,10,2305872
0,9,13,2307276
0,0,7,2307528
0,1,13,2307708
0,11,13,2307888
0,15,17,2307960
0,2,12,2308068
0,10,12,2308248
0,5,19,2308644
0,13,15,2308860
0,2,8,2309148
0,5,6,2309256
0,8,15,2309292
0,6,18,2309796
0,10,14,2310084
0,5,14,2310264
0,11,15,2310516
0,10,14,2311200
0,12,14,2311452
0,0,19,2312100
0,9,17,2313252
0,2,8,2313396
0,2,7,2314620
0,11,17,2316312
0,1,9,2317752
0,1,11,2318076
0,12,19,2318328
0,3,19,2318472
0,4,15,2320524
0,2,19,2321316
0,4,7,2324952
0,7,8,2328840
0,2,15,2329380
0,6,7,2331792
0,10,19,2332152
0,4,5,2332656
0,1,19,2332692
0,3,10,2332800
0,4,11,2335644
0,11,18,2337336
0,1,10,2338524
0,0,18,2338704
0,0,12,2341656
0,11,15,2341764
0,1,12,2343024
0,4,12,2353644
0,0,2,2354580
0,6,16,2354688
0,6,9,2354904
0,12,19,2375712
0,14,19,2377080
0,2,5,2377476
0,10,11,2377872
0,11,16,2378160
0,5,7,2379564
0,6,14,2380068
0,0,14,2380320
0,15,17,2380320
0,7,17,2382948
0,10,18,2384136
0,7,11,2384136
0,14,15,2384424
0,11,15,2384532
0,5,10,2386728
0,14,18,2389032
0,1,9,2389428
0,6,8,2391120
0,2,13,2391372
0,8,19,2391660
0,6,10,2392380
0,13,18,2392488
0,3,10,2392956
0,3,9,2406528
0,11,15,2409228
0,6,17,2411676
0,11,19,2414844
0,8,10,2415600
0,10,14,2420280
0,9,10,2424960
0,12,15,2426904
0,5,11,2447496
0,14,16,2447784
0,6,9,2451384
0,12,15,2453148
0,6,16,2453328
0,7,12,2455164
0,6,14,2574432
0,4,15,2576772
0,13,19,2583216
0,9,13,2584224
0,15,16,2589624
0,3,9,2605644
0,11,18,2665368
0,2,7,2673864
0,2,18,2674008
0,13,18,2692152
0,1,19,2763936
0,11,16,2764152
0,6,16,2764512
0,8,18,2777724
0,1,13,2822256
0,4,15,2828160
0,7,12,2829564
0,8,15,2829564
0,10,18,2829708
0,1,13,2831004
0,2,8,2834820
0,15,17,2835324
0,8,18,2838744
0,0,7,2840112
0,2,18,2840148
0,1,3,2845044
0,14,19,2846484
0,9,13,2846988
0,5,18,2847492
0,9,18,2847924
0,7,18,2848968
0,9,16,2849364
0,12,17,2851128
0,2,13,2851668
0,6,18,2852136
0,2,12,2853108
0,18,19,2853720
0,4,11,2855304
0,7,9,2855520
0,11,16,2873952
0,16,18,2876616
0,6,19,2880000
0,6,7,2898720
0,8,15,2904552
0,0,6,2905200
0,2,3,2908440
0,1,2,2908476
0,4,18,2908620
0,4,10,2909592
0,5,12,2912760
0,2,9,2913480
0,6,17,2913624
0,12,13,2915316
0,14,18,2915568
0,12,13,2915856
0,1,18,2916144
0,4,18,2917116
0,2,9,2919132
0,3,11,2919348
0,5,19,2919564
0,2,11,2920320
0,3,13,2921148
0,16,17,2921220
0,11,17,2921724
0,1,10,2921868
0,8,16,2922084
0,6,12,2924604
0,1,10,2925108
0,15,18,2926440
0,15,18,2926944
0,4,19,2928636
0,4,8,2931048
0,2,5,2931120
0,8,9,2931660
0,0,5,2931948
0,1,19,2934396
0,6,12,2935548
0,12,17,2935764
0,8,17,2936340
0,5,6,2937924
0,3,9,2938212
0,13,14,2939292
0,12,17,2946168
0,12,15,2970396
0,10,15,2972196
0,15,16,2972448
0,1,17,3007620
0,2,15,3007836
0,0,13,3009204
0,1,10,3010716
0,1,10,3011328
0,10,17,3015144
0,12,16,3016440
0,0,14,3019824
0,3,7,3020364
0,6,17,3022488
0,4,18,3023208
0,8,10,3029832
0,4,18,3030084
0,11,14,3030156
0,9,19,3030660
0,11,15,3031272
0,13,19,3031560
0,4,10,3031740
0,4,10,3031776
0,0,14,3032064
0,8,15,3033252
0,2,11,3033360
0,0,13,3033648
0,0,6,3034116
0,2,18,3034152
0,11,19,3035016
0,3,9,3035376
0,3,19,3035916
0,9,15,3036096
0,9,16,3037356
0,10,19,3037716
0,1,9,3037860
0,9,10,3038544
0,0,9,3039480
0,4,13,3039696
0,6,12,3040020
0,1,5,3040632
0,6,12,3040740
0,8,12,3041172
0,1,7,3042324
0,15,17,3043980
0,1,11,3044664
0,5,11,3044700
0,0,10,3044736
0,4,17,3047760
0,6,17,3050424
0,4,5,3053016
0,9,14,3055032
0,1,10,3055032
0,3,8,3055248
0,0,2,3055464
0,2,16,3061152
0,2,3,3061296
0,5,14,3062196
0,1,13,3064788
0,3,14,3067200
0,14,16,3070980
0,2,17,3075984
0,8,11,3076308
0,2,16,3078000
0,8,10,3086748
0,1,18,3088152
0,2,6,3091968
0,7,14,3095028
0,16,17,3095712
0,7,16,3105000
0,4,7,3159612
0,0,4,3162672
0,6,10,3164940
0,8,16,3166992
0,0,3,3177180
0,6,14,3177576
0,2,18,3177864
0,3,5,3178836
0,1,7,3178872
0,11,13,3180420
0,3,15,3182760
0,1,19,3198132
0,10,14,3198564
0,12,17,3238524
0,0,4,3238884
0,9,14,3245652
0,5,6,3256524
0,1,7,3258144
0,5,12,3259080
0,0,16,3261420
0,8,13,3267180
0,0,7,3270204
0,6,9,3274272
0,3,15,3277368
0,4,8,3277404
0,11,17,3278664
0,3,16,3281076
0,3,12,3281256
0,8,17,3282948
0,0,6,3283884
0,10,11,3286476
0,0,7,3286728
0,11,19,3286800
0,6,8,3288888
0,17,19,3291336
0,1,2,3291372
0,5,19,3292272
0,12,17,3292524
0,13,19,3293496
0,15,18,3295944
0,3,11,3296412
0,11,12,3298284
0,2,6,3303468
0,3,7,3303864
0,7,12,3305484
0,2,3,3307104
0,7,10,3307392
0,3,14,3307572
0,6,10,3307716
0,4,10,3309948
0,0,12,3310776
0,7,13,3311892
0,7,18,3317472
0,15,19,3319200
0,10,19,3323880
0,5,13,3332196
0,6,14,3341196
0,6,18,3354732
0,10,17,3389580
0,15,19,3391200
0,11,12,3394512
0,5,16,3400164
0,2,16,3403908
0,4,5,3405636
0,4,15,3410316
0,3,17,3411684
0,6,11,3412332
0,0,17,3414348
0,14,17,3417660
0,12,17,3418056
0,4,11,3419244
0,1,18,3420180
0,14,15,3422772
0,7,10,3422880
0,14,19,3426660
0,8,17,3461472
0,13,19,3510252
0,11,17,3520116
0,9,18,3520872
0,4,16,3524832
0,1,7,3526668
0,4,8,3527280
0,5,13,3528576
0,5,13,3555144
0,6,9,3612852
0,0,15,3616020
0,3,18,3620268
0,3,19,3622572
0,13,18,3625740
0,0,5,3668760
0,2,10,3669156
0,5,17,3670092
0,14,19,3670308
0,2,9,3672432
0,2,14,3673044
0,9,12,3673620
0,12,18,3673908
0,3,6,3674196
0,9,17,3674880
0,8,17,3681288
0,1,10,3692484
0,4,7,3695112
0,3,14,3696444
0,5,12,3696696
0,0,1,3697344
0,12,18,3704220
0,1,8,3743640
0,3,12,3744468
0,9,15,3781404
0,15,17,3785076
0,10,13,3786084
0,10,16,3789864
0,3,5,3791412
0,1,10,3816000
0,12,18,3816612
0,1,2,3819420
0,5,14,3820680
0,7,17,3820752
0,13,16,3828276
0,17,19,3953592
0,9,10,3958524
0,2,8,3998772
0,8,18,3998952
0,13,16,4046724
0,0,5,4051224
0,0,2,4053996
0,1,3,4057272
0,14,16,4057632
0,1,13,4058676
0,1,10,4058784
0,2,7,4060332
0,9,16,4060692
0,0,11,4062420
0,0,7,4064832
0,6,18,4065444
0,2,12,4068108
0,8,10,4076532
0,0,16,4079016
0,7,18,4092372
0,12,19,4092624
0,10,18,4092876
0,3,4,4125672
0,1,5,4145436
0,4,19,4146624
0,10,15,4146624
0,0,18,4208436
0,9,16,4230108
0,5,11,4242492
0,0,14,4246560
0,2,15,4246704
0,0,14,4248432
0,6,13,4249764
0,4,12,4260564
0,1,9,4265712
0,8,18,4303476
0,9,11,4310136
0,7,12,4315824
0,6,18,4319280
0,6,18,4320720
0,4,12,4321404
0,9,19,4325076
0,11,18,4325904
0,8,16,4361364
0,3,4,4404744
0,2,7,4404888
0,15,17,4405176
0,2,3,4405896
0,12,16,4406976
0,0,9,4407444
0,9,13,4409460
0,1,15,4409496
0,1,6,4410072
0,6,16,4420260
0,7,11,4420512
0,6,18,4421016
0,2,5,4423176
0,6,19,4426164
0,15,16,4428900
0,18,19,4428900
0,13,19,4429512
0,7,14,4430484
0,2,15,4430880
0,6,8,4432464
0,2,16,4433292
0,11,19,4433616
0,14,16,4433976
0,5,11,4435524
0,0,10,4435920
0,11,17,4436496
0,0,16,4436532
0,5,13,4436568
0,14,15,4437144
0,1,7,4437252
0,8,16,4439628
0,7,8,4439664
0,1,16,4439916
0,2,16,4440204
0,9,19,4440708
0,11,17,4440888
0,0,8,4441104
0,16,18,4441860
0,1,15,4442040
0,9,10,4442724
0,5,16,4443228
0,4,18,4443768
0,1,11,4444560
0,0,15,4445028
0,1,19,4445352
0,12,15,4445676
0,10,14,4446792
0,5,8,4448448
0,4,13,4452012
0,4,18,4458024
0,4,11,4458564
0,8,18,4458636
0,1,15,4466772
0,3,19,4469328
0,11,19,4470012
0,8,12,4472748
0,3,19,4473180
0,12,13,4473216
0,10,13,4473432
0,5,13,4473864
0,0,9,4476348
0,11,14,4476420
0,1,10,4478364
0,8,16,4478472
0,4,12,4479192
0,4,18,4479840
0,6,14,4480164
0,0,17,4482972
0,5,7,4494672
0,11,15,4496364
0,14,15,4503816
0,0,12,4525380
0,7,16,4537836
0,11,17,4540608
0,4,7,4542624
0,12,17,4545288
0,1,6,4551696
0,15,18,4555656
0,1,16,4557096
0,8,10,4557600
0,11,13,4557816
0,1,10,4559832
0,0,5,4561452
0,10,18,4562820
0,6,9,4563612
0,7,17,4569372
0,8,12,4570740
0,7,11,4580676
0,9,16,4592880
0,6,13,4593276
0,10,19,4593564
0,12,15,4611456
0,4,8,4616604
0,6,8,4619052
0,11,13,4627296
0,2,7,4629924
0,0,2,4639248
0,3,16,4641084
0,5,15,4641840
0,3,4,4641984
0,1,17,4642380
0,2,9,4646196
0,11,13,4648032
0,7,9,4649184
0,7,18,4649472
0,8,13,4650120
0,13,17,4657968
0,1,16,4670280
0,10,16,4675716
0,2,17,4688892
0,3,12,4821192
0,1,8,4827744
0,6,10,4905720
0,10,12,4918968
0,12,18,4919688
0,5,15,4920336
0,2,5,4925844
0,8,19,4938552
0,3,18,4954032
0,1,5,4959792
0,7,13,4978836
0,11,13,4994676
0,7,17,4996836
0,7,10,5000544
0,13,17,5008428
0,3,11,5011056
0,1,2,5012136
0,8,11,5012424
0,6,15,5015412
0,13,18,5018400
0,9,14,5019336
0,5,17,5019660
0,0,8,5020380
0,2,18,5020884
0,7,18,5021604
0,2,6,5021964
0,1,4,5022360
0,5,16,5023296
0,4,15,5024052
0,2,17,5024808
0,1,5,5027580
0,1,17,5031972
0,0,12,5034564
0,5,19,5034996
0,0,13,5037624
0,1,5,5050044
0,1,19,5092380
0,12,13,5094144
0,3,15,5100876
0,14,15,5103072
0,11,14,5104584
0,1,2,5106924
0,9,11,5113044
0,9,14,5114628
0,6,12,5172732
0,0,2,5243220
0,4,5,5246964
0,0,11,5247324
0,4,17,5249052
0,7,16,5249628
0,5,10,5252580
0,10,16,5254344
0,2,10,5342256
0,0,4,5358492
0,0,11,5467968
0,12,18,5555808
0,0,13,5560524
0,6,7,5564448
0,4,8,5564592
0,13,19,5567256
0,0,9,5567544
0,10,18,5570496
0,1,2,5572656
0,4,14,5574276
0,0,8,5576184
0,7,12,5622660
0,10,13,5623416
0,1,12,5680908
0,13,16,5715036
0,5,17,5716440
0,8,10,5716944
0,12,18,5716980
0,4,9,5717016
0,2,5,5717916
0,3,13,5718060
0,1,5,5718672
0,4,16,5719716
0,7,8,5720832
0,8,14,5721048
0,2,8,5721516
0,3,12,5721624
0,10,16,5722056
0,6,9,5724468
0,4,6,5724900
0,9,13,5726628
0,0,5,5726880
0,12,16,5730192
0,5,14,5730732
0,0,7,5732388
0,4,15,5785020
0,3,8,5785272
0,7,14,5788476
0,4,16,5851728
0,0,17,5859360
0,2,5,5861484
0,12,16,5862420
0,3,19,5862600
0,2,8,5863392
0,4,8,5865264
0,7,9,5869008
0,0,15,5871564
0,6,18,5885748
0,3,10,5886900
0,3,15,5902668
0,11,15,5903028
0,17,18,5903316
0,12,17,5904972
0,3,14,5907348
0,0,18,5908284
0,1,3,5950620
0,11,18,5951196
0,2,13,5952456
0,6,12,5953104
0,1,10,5953392
0,8,18,5968368
0,1,3,6022224
0,2,4,6066252
0,8,15,6075468
0,17,18,6076260
0,1,9,6078672
0,12,19,6080112
0,12,19,6108588
0,2,12,6123060
0,4,12,6123312
0,1,6,6123492
0,2,4,6124176
0,4,10,6124212
0,12,17,6124320
0,10,12,6141240
0,4,7,6142428
0,2,4,6143148
0,16,17,6143292
0,0,2,6143976
0,10,15,6144336
0,15,19,6145128
0,1,3,6146316
0,5,16,6146568
0,0,13,6146784
0,1,14,6147072
0,7,8,6147792
0,10,16,6147864
0,2,12,6148692
0,0,8,6149484
0,4,18,6150564
0,6,15,6150672
0,11,17,6152076
0,0,9,6154128
0,2,12,6155784
0,9,18,6156216
0,6,8,6156900
0,6,7,6156936
0,2,4,6157692
0,7,12,6157980
0,4,8,6160968
0,7,10,6164352
0,10,11,6166404
0,9,14,6167880
0,12,14,6182964
0,0,17,6184944
0,7,16,6185844
0,2,6,6191532
0,1,13,6192648
0,0,13,6194088
0,2,18,6196680
0,2,15,6247800
0,11,13,6250644
0,3,10,6251220
0,13,16,6253056
0,10,12,6255000
0,5,19,6255072
0,7,15,6256116
0,10,15,6256512
0,9,16,6259248
0,2,15,6259968
0,2,14,6260328
0,7,14,6265260
0,1,12,6265476
0,0,19,6265908
0,0,10,6266088
0,8,17,6266808
0,4,9,6269652
0,11,13,6276636
0,5,12,6278184
0,7,15,6279912
0,7,15,6289236
0,17,18,6298272
0,18,19,6308460
0,5,18,6310764
0,3,9,6310836
0,0,14,6312600
0,3,9,6313032
0,5,9,6314256
0,0,4,6314436
0,16,19,6314760
0,8,15,6315948
0,0,16,6316452
0,14,16,6316740
0,3,14,6318036
0,1,16,6320124
0,14,19,6320412
0,0,10,6321636
0,8,13,6333624
0,3,5,6333948
0,2,11,6336000
0,13,15,6339528
0,3,16,6348636
0,13,14,6378336
0,1,19,6439464
0,1,6,6447564
0,15,18,6447708
0,1,9,6449472
0,0,6,6451056
0,7,17,6451776
0,7,14,6463188
0,5,12,6463476
0,6,8,6466428
0,0,5,6466464
0,2,16,6466572
0,3,12,6468084
0,3,11,6470388
0,1,18,6471108
0,3,5,6522660
0,17,19,6531480
0,6,12,6532704
0,14,19,6534324
0,13,18,6536232
0,15,17,6536700
0,1,2,6537024
0,16,17,6537564
0,13,14,6539256
0,1,5,6539868
0,6,19,6546600
0,0,3,6548004
0,12,13,6612660
0,1,16,6612732
0,9,13,6616584
0,12,18,6618636
0,0,10,6621336
0,7,18,6700644
0,0,7,6702156
0,10,19,6704208
0,11,16,6706908
0,6,9,6707232
0,1,11,6712128
0,4,18,6713208
0,7,11,6787872
0,5,10,6788700
0,5,9,6792660
0,8,9,6793812
0,6,8,6797880
0,1,10,6810264
0,9,16,6813972
0,4,8,6815016
0,1,2,6815016
0,6,12,6815160
0,0,10,6815160
0,5,10,6816528
0,7,13,6821280
0,16,18,6826896
0,4,17,6828192
0,14,18,6829308
0,8,19,6833916
0,5,10,6834852
0,3,6,6835140
0,13,15,6836760
0,12,16,6838236
0,2,14,6842520
0,0,4,6850980
0,9,13,6880500
0,1,9,6889968
0,0,15,6913368
0,5,7,6917904
0,14,15,6921072
0,0,17,6924132
0,2,7,6925824
0,7,11,6930576
0,8,13,6934680
0,6,13,6944688
0,6,18,6945120
0,1,13,6947316
0,9,15,6954624
0,2,9,6956496
0,0,11,6958008
0,6,16,6961680
0,13,18,6962112
0,0,6,6963012
0,1,14,6963984
0,4,16,6964380
0,3,18,6975684
0,0,10,7037136
0,8,9,7050276
0,13,16,7050708
0,7,11,7052328
0,9,14,7059708
0,10,13,7114248
0,12,18,7118208
0,1,8,7129188
0,5,13,7133364
0,4,6,7136028
0,8,15,7138764
0,4,18,7140060
0,5,8,7143264
0,6,17,7143480
0,12,16,7224336
0,7,17,7331544
0,5,8,7331688
0,1,14,7332048
0,3,4,7334100
0,6,13,7336692
0,9,15,7337556
0,3,17,7339032
0,5,17,7340040
0,5,15,7341408
0,2,15,7341876
0,10,16,7342092
0,1,3,7342524
0,11,12,7342704
0,1,13,7343424
0,2,4,7345440
0,9,14,7347708
0,2,9,7348104
0,2,7,7348608
0,4,6,7348896
0,3,17,7349292
0,11,17,7349508
0,6,12,7350300
0,11,16,7350588
0,7,15,7351128
0,5,10,7351416
0,7,10,7351992
0,16,17,7352748
0,4,14,7352892
0,11,15,7353504
0,11,12,7354404
0,2,11,7355412
0,1,14,7357536
0,9,15,7359480
0,1,6,7360380
0,1,3,7363080
0,1,9,7364556
0,14,17,7364952
0,10,11,7365348
0,3,16,7366248
0,9,16,7367220
0,0,17,7367472
0,13,17,7367760
0,5,14,7367760
0,5,14,7371144
0,5,6,7377480
0,7,15,7379928
0,3,19,7384716
0,0,4,7388028
0,2,4,7394112
0,3,15,7396848
0,3,10,7401312
0,2,18,7405380
0,1,5,7407576
0,2,18,7408872
0,1,7,7409196
0,5,9,7409412
0,4,8,7410276
0,2,11,7411500
0,0,1,7412472
0,2,17,7418592
0,4,15,7420032
0,4,8,7421004
0,8,16,7445916
0,7,10,7446060
0,9,14,7447968
0,5,9,7449588
0,13,19,7450704
0,8,14,7452432
0,12,15,7454304
0,1,16,7464024
0,6,9,7464744
0,7,11,7465536
0,4,5,7465860
0,6,16,7466364
0,15,16,7466400
0,13,15,7466544
0,4,14,7466868
0,2,5,7467840
0,0,6,7477020
0,3,16,7477524
0,3,17,7480188
0,6,10,7483896
0,4,15,7487136
0,11,12,7488936
0,8,14,7488972
0,1,15,7490016
0,12,17,7490268
0,0,15,7494048
0,1,15,7495704
0,3,11,7496028
0,11,19,7498368
0,2,8,7499808
0,0,3,7504020
0,7,16,7505604
0,0,10,7507296
0,4,8,7517664
0,8,12,7518708
0,2,10,7520688
0,8,16,7531236
0,5,13,7587324
0,5,17,7589556
0,5,11,7591212
0,8,18,7592220
0,1,12,7593048
0,5,8,7593444
0,8,9,7593624
0,6,11,7594020
0,0,4,7594380
0,4,17,7594596
0,4,11,7595856
0,3,12,7597296
0,2,14,7597368
0,7,12,7598340
0,9,18,7599384
0,11,17,7601184
0,10,11,7601256
0,4,16,7602048
0,5,8,7602912
0,1,8,7604460
0,0,13,7604892
0,7,18,7605144
0,0,18,7607088
0,2,8,7607448
0,3,8,7610400
0,0,12,7616196
0,5,8,7616772
0,5,10,7617816
0,2,17,7618284
0,4,8,7621308
0,7,10,7628076
0,1,17,7630920
0,0,1,7635132
0,7,16,7642728
0,0,15,7664364
0,10,14,7675704
0,15,17,7722540
0,3,8,7776972
0,0,15,7780392
0,9,14,7780860
0,1,11,7781292
0,11,16,7783344
0,12,15,7793568
0,5,7,7793892
0,4,8,7794432
0,1,10,7799220
0,9,10,7799760
0,2,15,7805412
0,3,8,7878924
0,3,17,7911288
0,3,13,7913196
0,1,17,7927740
0,4,9,7940952
0,8,18,7942500
0,1,12,7947072
0,9,18,7948548
0,4,5,7952904
0,7,16,7977528
0,8,10,7978248
0,8,15,7981200
0,4,7,7984764
0,17,18,8020368
0,14,15,8033076
0,1,10,8037864
0,4,8,8039052
0,13,14,8039484
0,3,9,8040384
0,13,17,8040708
0,15,16,8042040
0,8,11,8042796
0,2,3,8043300
0,8,16,8048412
0,9,12,8082252
0,16,18,8158320
0,6,10,8160192
0,14,18,8164440
0,1,16,8164728
0,5,6,8175672
0,9,13,8201268
0,17,18,8201304
0,1,5,8202600
0,3,15,8204472
0,17,18,8208936
0,2,9,8209188
0,3,15,8213220
0,9,12,8213328
0,7,11,8213652
0,3,4,8213940
0,10,16,8214552
0,1,11,8216244
0,6,14,8217288
0,11,19,8217828
0,12,17,8221104
0,5,8,8222004
0,2,18,8223516
0,0,11,8226072
0,1,16,8226432
0,3,8,8270280
0,7,13,8273016
